model,accuracy,precision_ai,recall_ai,f1_ai,roc_auc,pr_auc
linear_svm,0.9681,0.9718432901014716,0.9641333333333333,0.9679729594056424,0.9954309022222223,0.995632474036515
logistic_regression,0.9653666666666667,0.9704157962126828,0.96,0.9651797982506116,0.99459196,0.9949863611764733
hist_gradient_boosting,0.9277666666666666,0.942669886167644,0.9109333333333334,0.9265299203254789,0.9795617511111111,0.9820507535356198
random_forest,0.9043666666666667,0.9338387812030613,0.8704,0.9010041061385046,0.965556231111111,0.9701104998378918
complement_nb,0.8855333333333333,0.9255334805003679,0.8385333333333334,0.8798880727527107,0.9478649688888889,0.9564719979527575
