model,family,accuracy,balanced_accuracy,macro_f1,f1_serious,roc_auc,train_seconds
hist_gradient_boosting,tree,0.7452197417158875,0.7025484723961652,0.6883846574521032,0.5553031626769177,0.7702289750727115,0.4386835000477731
linear_svm,classical,0.7228951847031735,0.6926342194034935,0.6711933081699976,0.5408095554080955,0.7541018518112449,1.2747148999478668
logistic_regression,classical,0.7170887976774452,0.6898465984900741,0.6666672728210513,0.5370249017038008,0.7535334524951408,1.6768944000359625
random_forest,tree,0.7963760136149765,0.6442221768352036,0.6650301897139854,0.45527584359935724,0.7604250135795594,2.3995195999741554
