model,family,accuracy,macro_f1,weighted_f1,latency_ms
qwen4b_logreg_probe,qwen_probe,0.39146230699364215,0.3880362857726402,0.39157324432035595,10.058808841352837
qwen4b_mlp_probe,qwen_probe,0.44686648501362397,0.42878268747859627,0.43604527853640757,10.058808841352837
