model,family,accuracy,macro_f1,weighted_f1,latency_ms,train_seconds
logistic_regression,classical_tfidf,0.3832879200726612,0.380163459582458,0.3817607582085882,0.02139453135896474,2.087809900054708
complement_nb,classical_tfidf,0.3905540417801998,0.3610896696516305,0.37438641653412064,0.018703125533647835,0.19029359985142946
linear_svm,classical_tfidf,0.3578564940962761,0.3482852745309073,0.3543841752012162,0.02088828114210628,0.2676538999658078
