model,family,accuracy,macro_f1,weighted_f1,latency_ms,train_seconds
logistic_regression,classical_tfidf,0.3832879200726612,0.380163459582458,0.3817607582085882,0.0213945313589647,2.087809900054708
complement_nb,classical_tfidf,0.3905540417801998,0.3610896696516305,0.3743864165341206,0.0187031255336478,0.1902935998514294
linear_svm,classical_tfidf,0.3578564940962761,0.3482852745309073,0.3543841752012162,0.0208882811421062,0.2676538999658078
qwen06_mlp_probe,qwen_probe,0.4341507720254314,0.415786450255091,0.4242606365092793,2.212580504314299,
qwen06_lora_finetune,qwen_finetuned,0.5131698455949137,0.5007790373213277,0.5097483437876085,1.46998281343258,
