model,family,balanced_accuracy,macro_f1,accuracy,latency_ms
logistic_regression,classical_tfidf,0.5183583959899749,0.5184045955130292,0.5679314565483476,0.1359562484140042
complement_nb,classical_tfidf,0.5070175438596491,0.409379863907076,0.6560587515299877,0.1339749996986938
majority_baseline,classical_tfidf,0.5,0.3943661971830985,0.6511627906976745,0.0
linear_svm,classical_tfidf,0.5,0.3943661971830985,0.6511627906976745,0.1575687492731958
qwen06_mlp_probe,qwen_probe,0.5695833333333333,0.5699078603772999,0.5868613138686132,12.9728268609967
qwen06_logreg_probe,qwen_probe,0.545109649122807,0.5446481307525157,0.5547445255474452,12.9728268609967
qwen_gen_vanilla,qwen_generative,0.515,0.3952429938589108,0.515,138.7022010050714
qwen_gen_speculative,qwen_generative,0.515,0.3952429938589108,0.515,79.78087300783955
