iter	Logloss
210	0.419466959
211	0.419095823
212	0.4187335665
213	0.418441005
214	0.4181171339
215	0.4176597927
216	0.4174027954
217	0.4170776757
218	0.4166635758
219	0.4163239343
220	0.4160512592
221	0.4156697176
222	0.4153215666
223	0.4149803989
224	0.4145788321
225	0.4142125521
226	0.4139738689
227	0.4135687872
228	0.4133085527
229	0.4128922792
230	0.4126282986
231	0.4122763553
232	0.4118951374
233	0.411544674
234	0.4111766828
235	0.4108619225
236	0.4105109042
237	0.410027988
238	0.4097255758
239	0.409465295
240	0.4090003691
241	0.4086366328
242	0.4083392152
243	0.4080794894
244	0.4077331883
245	0.4074788272
246	0.4071926478
247	0.4068806161
248	0.4065228919
249	0.4062076691
250	0.4058139181
251	0.4054107326
252	0.4050371455
253	0.4047693264
254	0.404483702
255	0.4040174812
256	0.4036908815
257	0.4034188539
258	0.4031375767
259	0.4028931126
260	0.4024104739
261	0.4020629704
262	0.401840705
263	0.4015548494
264	0.4012894351
265	0.4009549734
266	0.4005594187
267	0.4004085132
268	0.4000669293
269	0.3996568992
270	0.3993427864
271	0.3990593819
272	0.3986933331
273	0.3983161849
274	0.3979973086
275	0.3975003795
276	0.3972254845
277	0.3968714138
278	0.3965865756
279	0.3963109869
280	0.3960282761
281	0.3957806671
282	0.3953889047
283	0.3950558767
284	0.3948187659
285	0.3945391536
286	0.3943221142
287	0.393978403
288	0.3936788581
289	0.3933042073
290	0.3929598948
291	0.3926677033
292	0.3922556845
293	0.392031153
294	0.3917447424
295	0.3913785087
296	0.3910729054
297	0.3907266968
298	0.3903964898
299	0.3899878008
300	0.3898084531
301	0.3895911825
302	0.3893386713
303	0.3889488513
304	0.3885896009
305	0.3883348698
306	0.3880767164
307	0.3878534799
308	0.387513584
309	0.3872578355
310	0.3870344602
311	0.3867550561
312	0.3865404447
313	0.386165262
314	0.3859262551
315	0.385689468
316	0.385364672
317	0.3850854991
318	0.3848027189
319	0.384467286
320	0.3841124291
321	0.3839127556
322	0.383660545
323	0.3833826439
324	0.3831881733
325	0.3830089643
326	0.3828251075
327	0.3825654742
328	0.3822771443
329	0.3820732623
330	0.381827087
331	0.3815658581
332	0.3813400548
333	0.3811248422
334	0.3807448267
335	0.3804429925
336	0.3801979503
337	0.3798817563
338	0.3795734938
339	0.3793074552
340	0.3790634072
341	0.3788946271
342	0.3785311219
343	0.378236803
344	0.3779320552
345	0.3776999854
346	0.377274208
347	0.3769807678
348	0.376661799
349	0.3763945348
350	0.3761081242
351	0.3758218292
352	0.3755701042
353	0.3752743747
354	0.374965904
355	0.3748154841
356	0.3745221364
357	0.3742224759
358	0.3740683099
359	0.3738748336
360	0.3736649394
361	0.3734226952
362	0.3732239235
363	0.3729474099
364	0.3726582938
365	0.3723338446
366	0.3721147703
367	0.3718808506
368	0.3716904266
369	0.3715020375
370	0.3712681178
371	0.371034753
372	0.3708927039
373	0.3705775274
374	0.3703333176
375	0.3700884603
376	0.3698543556
377	0.3695660026
378	0.369309861
379	0.3691204313
380	0.3689116239
381	0.3686829071
382	0.3684259792
383	0.3681182023
384	0.3678023782
385	0.3674909246
386	0.3672656994
387	0.3670622337
388	0.3667222685
389	0.3665397991
390	0.3662901321
391	0.3660643519
392	0.3657609684
393	0.3655770191
394	0.3653183339
395	0.3650235987
396	0.3648237171
397	0.3646449244
398	0.3644200691
399	0.3642033535
