model,family,act,accuracy,balanced_accuracy,macro_f1,f1_serious,roc_auc,train_seconds
majority_baseline,baseline,0_majority_trap,0.7409150065071579,0.5,0.4255894192064405,0.0,0.5,0.0006689000874757
naive_logreg,classical,1_first_guess,0.6107718490339373,0.6231251750306519,0.5790279039844662,0.4634280982611096,0.6638886783126137,1.237672100076452
logistic_regression,classical,2_full_linear,0.7170887976774452,0.6898465984900741,0.6666672728210513,0.5370249017038008,0.7535334524951408,1.5082061998546124
linear_svm,classical,3_full_linear,0.7228951847031735,0.6926342194034935,0.6711933081699976,0.5408095554080955,0.7541018518112449,1.3705039999913424
random_forest,tree,4_accuracy_trap,0.7947742516768446,0.6704053266121563,0.6901210579034902,0.510038240917782,0.7640451591089972,1.1834600998554379
hist_gradient_boosting,tree,5_boosted_trees,0.7452197417158875,0.7025484723961652,0.6883846574521032,0.5553031626769177,0.7702289750727115,0.4457157000433653
catboost,champion,6_final_model,0.7556311943137451,0.7025386571053204,0.6940318838587616,0.5567459596876703,0.7758720624870652,59.21471660002135
