model,train_error,test_error,gap
Logistic Regression (L2),0.27188295165394405,0.2644964394710071,-0.007386512182936955
SVM (RBF kernel),0.20750636132315525,0.228382502543235,0.020876141220079747
Random Forest,0.11183206106870225,0.21464903357070197,0.10281697250199973
CatBoost,0.15419847328244274,0.2019328585961343,0.04773438531369156
MLP (SGD/Adam),0.17188295165394407,0.20091556459816884,0.029032612944224767
