k,inertia,silhouette
3,194380.8487577257,0.09391401355878352
4,181062.60389475434,0.1608593481132969
5,171559.5120210722,0.1361124474439612
6,162326.90264128492,0.14652188167553737
7,150731.55393548319,0.14713687556451388
8,143082.38692765115,0.18119399486500096
